Dates,ACN,GIB,IT,BAH,FCN,EXPO,ICFI,HURN
2015-02-23,81.417137,44.09,83.989998,27.844669,37.490002,20.546728,39.190369,74.68
2015-02-24,81.668846,43.220001,84.769997,27.643553,38.09,20.506758,40.165451,74.470001
2015-02-25,81.44413,43.099998,84.360001,27.515577,36.939999,20.443272,40.431381,64.860001
2015-02-26,81.174438,43.27,83.599998,27.561285,37.130001,20.450329,40.904144,66.010002
2015-02-27,80.931725,41.810001,83.110001,27.204769,36.869999,20.344528,41.26857,66.650002
2015-03-02,81.965508,42.869999,82.57,27.725826,37.700001,20.638418,41.317822,66.900002
2015-03-03,81.659859,42.18,82.18,27.66184,37.630001,20.509109,41.26857,67.07
2015-03-04,81.722794,42.59,81.18,27.460728,37.080002,20.379343,41.376911,66.860001
2015-03-05,82.747581,42.57,81.639999,26.976238,37.150002,20.421816,41.632996,64.150002
2015-03-06,81.507042,41.959999,80.989998,26.528311,36.43,20.027817,40.520023,62.540001
2015-03-09,81.614922,42.48,81.199997,26.866533,36.91,20.530336,41.160229,63.759998
2015-03-10,79.160797,41.860001,79.870003,26.363762,36.209999,20.221279,39.328259,64.330002
2015-03-11,78.082085,41.889999,79.919998,26.162653,36.380001,20.386429,39.643436,64.639999
2015-03-12,79.286652,42.619999,80.440002,26.601439,37.259998,21.002192,40.72686,66.790001
2015-03-13,78.990013,42.299999,80.349998,26.089523,36.529999,20.660099,40.628365,66.209999
2015-03-16,79.924919,43.240002,81.449997,26.510023,36.959999,20.811094,40.431381,67.349998
2015-03-17,79.861984,43.310001,81.650002,26.491739,37.130001,21.016348,40.175301,67.269997
2015-03-18,81.740768,44.009998,81.599998,26.738558,37.009998,20.884232,40.628365,66.760002
2015-03-19,81.075546,43.450001,81.730003,27.259617,37.209999,20.704931,40.923843,67.379997
2015-03-20,82.235176,43.490002,83.029999,27.213915,37.439999,20.88187,42.007271,66.5
2015-03-23,82.289124,43.41,83.779999,27.45159,37.599998,20.853561,42.322449,66.110001
2015-03-24,80.374382,43.779999,83.129997,27.268759,37.720001,21.117798,42.351997,66.510002
2015-03-25,79.295639,42.669998,81.470001,25.723866,36.25,20.688416,40.707169,65.32
2015-03-26,84.653343,43.349998,81.580002,26.162653,36.380001,20.629431,40.411686,63.380001
2015-03-27,84.446571,43.110001,82.419998,26.692854,36.790001,20.98568,40.953396,65.150002
2015-03-30,84.878082,42.669998,84.199997,26.921383,37.889999,21.002192,40.717007,66.260002
2015-03-31,84.221863,42.450001,83.849998,26.455173,37.459999,20.973883,40.234394,66.150002
2015-04-01,84.104988,42.48,83.410004,26.583155,37.59,20.796938,41.357216,65.860001
2015-04-02,85.595505,43.009998,83.309998,26.244925,37.849998,21.016348,41.219326,66.099998
2015-04-06,86.967865,43.25,83.660004,26.391186,38.23,21.12488,41.081432,67.099998
2015-04-07,87.604057,43.970001,83.699997,26.071238,37.959999,21.004557,40.254093,66.239998
2015-04-08,87.374413,44.110001,84.32,26.107801,38.029999,21.131952,40.549572,67.580002
2015-04-09,87.695915,44.130001,84.449997,26.107801,38.040001,21.037582,39.998013,67.099998
2015-04-10,86.979431,44.540001,84.660004,26.080379,38.560001,21.174425,40.382133,67.910004
2015-04-13,85.877144,45.48,83.980003,25.595882,38.150002,21.139036,40.0965,68.459999
2015-04-14,86.171082,45.48,83.970001,26.043814,38.119999,21.146107,39.663132,68.07
2015-04-15,86.492584,46.029999,84.139999,25.879265,38.459999,21.228685,39.682835,68.839996
2015-04-16,86.400734,46.07,84.400002,26.217501,38.23,21.061174,39.810871,67.160004
2015-04-17,84.866722,45.130001,83.120003,25.961542,37.41,20.634153,39.101727,66.470001
2015-04-20,85.675056,45.080002,83.860001,26.281488,38.029999,21.12488,39.702534,67.150002
2015-04-21,85.427055,45.400002,83.559998,26.372902,38.68,21.023428,39.938911,67.160004
2015-04-22,85.776093,45.720001,82.879997,26.41861,38.549999,21.025787,40.037407,66.980003
2015-04-23,86.198639,45.970001,84.25,26.528311,38.509998,22.481459,39.998013,67.290001
2015-04-24,85.794472,45.669998,83.470001,26.519165,38.529999,22.497972,40.027557,68.199997
2015-04-27,86.12516,44.799999,83.120003,25.998108,38.720001,22.108692,39.879822,67.730003
2015-04-28,86.731422,44.59,83.279999,25.851843,39,22.224297,40.648067,67.690002
2015-04-29,86.024117,43,83.139999,25.550179,38.299999,21.726488,39.712383,62.259998
2015-04-30,85.105537,42.07,82.980003,25.138821,41.110001,20.905466,37.919811,60.619999
2015-05-01,85.757736,42.439999,84.089996,25.550179,39.919998,20.839407,37.949356,60.709999
2015-05-04,86.749794,42.509998,84.690002,25.431343,40.009998,20.898386,37.240211,61
2015-05-05,86.024117,42.490002,83.629997,25.138821,40.099998,20.539778,36.718193,60.720001
2015-05-06,85.427055,42.540001,84.099998,25.047405,39.41,20.62471,37.240211,60.25
2015-05-07,86.795723,42.790001,84.980003,25.266792,39.259998,20.667179,37.279606,60.200001
2015-05-08,88.081718,43.43,85.610001,25.504469,39.689999,20.402943,35.457478,60.66
2015-05-11,88.19194,43.150002,84.470001,25.33993,39.830002,20.487869,34.511951,60.650002
2015-05-12,87.649986,43.07,83.75,24.98341,39.810001,20.343958,34.777885,60.650002
2015-05-13,87.888817,42.860001,86.199997,25.23937,40.240002,20.398226,34.974869,61.16
2015-05-14,89.082962,43.279999,88.040001,25.806141,40.43,20.244867,36.728046,62.360001
2015-05-15,89.119698,44.27,87.470001,25.897554,39.889999,20.136345,36.393166,62.700001
2015-05-18,89.523888,44.18,87.760002,25.806141,39.900002,20.112753,36.343925,63.380001
2015-05-19,89.26667,45.09,87.419998,26.190081,40.139999,20.450125,36.137085,63.880001
2015-05-20,89.14727,43.400002,88.129997,26.052956,39.939999,20.485516,35.969643,64.099998
2015-05-21,88.945168,43.5,87.720001,22.972307,39.82,20.325081,35.546127,64.160004
2015-05-22,88.540993,43.330002,87.209999,22.954025,39.66,20.346317,35.871155,63.540001
2015-05-26,88.265427,42.549999,86.970001,22.350693,39.220001,20.268461,35.398388,63.040001
2015-05-27,88.89006,42.34,88.410004,22.899176,39.939999,20.077362,35.605217,63.59
2015-05-28,89.018661,42.32,88.220001,23.145992,39.740002,20.053768,35.427937,64.019997
2015-05-29,88.219498,42.380001,87.480003,23.173418,39.299999,20.082077,35.240799,64.300003
2015-06-01,88.357292,42.169998,86.879997,23.392811,39.529999,20.037251,35.270351,62.880001
2015-06-02,88.485886,42.43,86.669998,23.630486,39.84,20.04669,35.595375,62.470001
2015-06-03,89.082962,42.990002,87.309998,23.767609,40.459999,20.164652,36.23558,63.32
2015-06-04,88.118462,42.540001,86.589996,23.429375,40.310001,19.982988,36.196175,62.77
2015-06-05,87.631622,42.389999,87.059998,23.209988,40.52,20.487869,36.009045,62.900002
2015-06-08,87.052917,41.25,86,23.081343,40.25,20.360476,35.378693,63.299999
2015-06-09,87.209076,41.869999,85.870003,22.759752,40.369999,20.270823,35.575676,64.050003
2015-06-10,88.660416,42.93,86.709999,23.651031,41,20.427078,35.821903,66.709999
2015-06-11,89.027832,42.68,87.410004,23.632647,41.380001,20.34185,35.467331,66.779999
2015-06-12,88.274612,42.790001,86.989998,23.439693,41,20.171383,35.063511,67.629997
2015-06-15,87.989853,42.240002,86.589996,23.36619,40.599998,19.778378,34.502098,67.260002
2015-06-16,88.82576,41.919998,87.529999,23.696968,41.470001,20.24715,34.639988,68.629997
2015-06-17,89.037033,41.990002,87.709999,23.788853,41.310001,20.218737,34.246017,69.040001
2015-06-18,89.386086,41.529999,88.050003,24.055319,41.849998,20.545454,34.443012,69.68
2015-06-19,89.119698,40.509998,87.779999,24.147207,42.619999,20.720654,34.846832,68.93
2015-06-22,90.561852,41.400002,88.360001,24.285032,43.049999,20.933727,34.777885,69.650002
2015-06-23,90.249542,40.98,89.07,24.266651,43.639999,21.132607,34.718784,70.050003
2015-06-24,89.80864,40.73,87.739998,24.138016,42.720001,21.071051,34.531654,70.580002
2015-06-25,91.379387,41.41,87.790001,24.386103,42.400002,21.123135,34.95517,70.760002
2015-06-26,90.938477,41.57,87.620003,23.935871,42.509998,21.3078,35.516579,71.5
2015-06-29,88.807381,39.790001,85.510002,23.237549,41.040001,20.971611,34.246017,70.400002
2015-06-30,88.899239,39.080002,85.779999,23.191605,41.240002,21.203632,34.334667,70.089996
