Date,Open,High,Low,Close,Adj Close,Volume
2015-02-23,21.882500,21.882500,21.625000,21.847500,20.546728,180000
2015-02-24,21.750000,21.990000,21.629999,21.805000,20.506758,245200
2015-02-25,21.780001,21.922501,21.527500,21.737499,20.443272,133200
2015-02-26,21.777500,21.887501,21.607500,21.745001,20.450329,108400
2015-02-27,21.655001,21.855000,21.562500,21.632500,20.344528,111200
2015-03-02,21.855000,22.027500,21.730000,21.945000,20.638418,163200
2015-03-03,21.947500,21.947500,21.597500,21.807501,20.509109,210000
2015-03-04,21.657499,21.770000,21.485001,21.594999,20.379343,165600
2015-03-05,21.567499,21.787500,21.532499,21.639999,20.421816,222400
2015-03-06,21.475000,21.562500,21.135000,21.222500,20.027817,216000
2015-03-09,21.222500,21.792500,21.219999,21.754999,20.530336,149600
2015-03-10,21.442499,21.815001,21.360001,21.427500,20.221279,224000
2015-03-11,21.389999,21.682501,21.330000,21.602501,20.386429,228000
2015-03-12,21.750000,22.302500,21.717501,22.254999,21.002192,244000
2015-03-13,22.297501,22.365000,21.820000,21.892500,20.660099,144800
2015-03-16,22.067499,22.225000,21.957500,22.052500,20.811094,101600
2015-03-17,22.052500,22.285000,21.875000,22.270000,21.016348,222400
2015-03-18,22.139999,22.299999,21.932501,22.129999,20.884232,233600
2015-03-19,22.320000,22.320000,21.902500,21.940001,20.704931,141200
2015-03-20,22.057501,22.152500,22.004999,22.127501,20.881870,329600
2015-03-23,22.125000,22.325001,22.017500,22.097500,20.853561,171200
2015-03-24,22.027500,22.472500,21.902500,22.377501,21.117798,212400
2015-03-25,22.395000,22.405001,21.892500,21.922501,20.688416,186800
2015-03-26,21.780001,22.057501,21.780001,21.860001,20.629431,116000
2015-03-27,21.934999,22.342501,21.934999,22.237499,20.985680,160000
2015-03-30,22.202499,22.500000,22.117500,22.254999,21.002192,214800
2015-03-31,22.084999,22.245001,21.937500,22.225000,20.973883,134400
2015-04-01,22.177500,22.177500,21.815001,22.037500,20.796938,144000
2015-04-02,21.887501,22.334999,21.887501,22.270000,21.016348,88800
2015-04-06,22.132500,22.437500,22.075001,22.385000,21.124880,156800
2015-04-07,22.389999,22.495001,22.184999,22.257500,21.004557,185200
2015-04-08,22.282499,22.442499,22.017500,22.392500,21.131952,82000
